Starting BFS (two pass, full exploration) on 16 x 16 maze
Step: 119 | Position: (10,9) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 103
Step: 120 | Position: (11,9) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 104
Step: 121 | Position: (12,9) | Action: FORWARD | Unique cells visited: 105
Step: 122 | Position: (13,9) | Action: FORWARD | Unique cells visited: 106
Step: 123 | Position: (13,8) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 107
Step: 124 | Position: (12,8) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 108
Step: 125 | Position: (11,8) | Action: FORWARD | Unique cells visited: 109
Step: 126 | Position: (10,8) | Action: FORWARD | Unique cells visited: 110
Step: 127 | Position: (9,8) | Action: FORWARD | Unique cells visited: 111
Step: 128 | Position: (9,9) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 112
Step: 129 | Position: (8,9) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 113
Step: 130 | Position: (8,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 114
Center discovered at step 130; continuing the learning pass
Step: 131 | Position: (8,7) | Action: FORWARD | Unique cells visited: 115
Step: 132 | Position: (7,7) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 116
Step: 133 | Position: (7,8) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 117
Step: 134 | Position: (8,8) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 117
Step: 135 | Position: (8,9) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 117
Step: 136 | Position: (9,9) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 117
Step: 137 | Position: (9,8) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 117
Step: 138 | Position: (9,7) | Action: FORWARD | Unique cells visited: 118
Step: 139 | Position: (10,7) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 119
Step: 140 | Position: (11,7) | Action: FORWARD | Unique cells visited: 120
Step: 141 | Position: (12,7) | Action: FORWARD | Unique cells visited: 121
Step: 142 | Position: (13,7) | Action: FORWARD | Unique cells visited: 122
Step: 143 | Position: (14,7) | Action: FORWARD | Unique cells visited: 123
Step: 144 | Position: (15,7) | Action: FORWARD | Unique cells visited: 124
Step: 145 | Position: (15,6) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 125
Step: 146 | Position: (15,5) | Action: FORWARD | Unique cells visited: 126
Step: 147 | Position: (15,4) | Action: FORWARD | Unique cells visited: 127
Step: 148 | Position: (15,3) | Action: FORWARD | Unique cells visited: 128
Step: 149 | Position: (15,2) | Action: FORWARD | Unique cells visited: 129
Step: 150 | Position: (15,3) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 129
Step: 151 | Position: (15,4) | Action: FORWARD | Unique cells visited: 129
Step: 152 | Position: (14,4) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 130
Step: 153 | Position: (14,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 131
Step: 154 | Position: (14,6) | Action: FORWARD | Unique cells visited: 132
Step: 155 | Position: (13,6) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 133
Step: 156 | Position: (12,6) | Action: FORWARD | Unique cells visited: 134
Step: 157 | Position: (12,5) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 135
Step: 158 | Position: (13,5) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 136
Step: 159 | Position: (14,5) | Action: FORWARD | Unique cells visited: 136
Step: 160 | Position: (14,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 136
Step: 161 | Position: (13,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 137
Step: 162 | Position: (12,4) | Action: FORWARD | Unique cells visited: 138
Step: 163 | Position: (11,4) | Action: FORWARD | Unique cells visited: 139
Step: 164 | Position: (10,4) | Action: FORWARD | Unique cells visited: 140
Step: 165 | Position: (9,4) | Action: FORWARD | Unique cells visited: 141
Step: 166 | Position: (8,4) | Action: FORWARD | Unique cells visited: 142
Step: 167 | Position: (7,4) | Action: FORWARD | Unique cells visited: 143
Step: 168 | Position: (6,4) | Action: FORWARD | Unique cells visited: 144
Step: 169 | Position: (6,3) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 145
Step: 170 | Position: (7,3) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 146
Step: 171 | Position: (8,3) | Action: FORWARD | Unique cells visited: 147
Step: 172 | Position: (9,3) | Action: FORWARD | Unique cells visited: 148
Step: 173 | Position: (10,3) | Action: FORWARD | Unique cells visited: 149
Step: 174 | Position: (11,3) | Action: FORWARD | Unique cells visited: 150
Step: 175 | Position: (12,3) | Action: FORWARD | Unique cells visited: 151
Step: 176 | Position: (13,3) | Action: FORWARD | Unique cells visited: 152
Step: 177 | Position: (14,3) | Action: FORWARD | Unique cells visited: 153
Step: 178 | Position: (14,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 154
Step: 179 | Position: (13,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 155
Step: 180 | Position: (12,2) | Action: FORWARD | Unique cells visited: 156
Step: 181 | Position: (11,2) | Action: FORWARD | Unique cells visited: 157
Step: 182 | Position: (10,2) | Action: FORWARD | Unique cells visited: 158
Step: 183 | Position: (9,2) | Action: FORWARD | Unique cells visited: 159
Step: 184 | Position: (8,2) | Action: FORWARD | Unique cells visited: 160
Step: 185 | Position: (7,2) | Action: FORWARD | Unique cells visited: 161
Step: 186 | Position: (6,2) | Action: FORWARD | Unique cells visited: 162
Step: 187 | Position: (5,2) | Action: FORWARD | Unique cells visited: 163
Step: 188 | Position: (5,3) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 164
Step: 189 | Position: (5,4) | Action: FORWARD | Unique cells visited: 165
Step: 190 | Position: (5,5) | Action: FORWARD | Unique cells visited: 166
Step: 191 | Position: (5,6) | Action: FORWARD | Unique cells visited: 167
