Starting BFS (two pass, full exploration) on 16 x 16 maze
Step: 136 | Position: (3,9) | Action: FORWARD | Unique cells visited: 128
Step: 137 | Position: (4,9) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 129
Step: 138 | Position: (3,9) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 129
Step: 139 | Position: (3,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 129
Step: 140 | Position: (4,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 130
Step: 141 | Position: (4,7) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 131
Step: 142 | Position: (4,6) | Action: FORWARD | Unique cells visited: 132
Step: 143 | Position: (4,5) | Action: FORWARD | Unique cells visited: 133
Step: 144 | Position: (3,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 134
Step: 145 | Position: (3,6) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 135
Step: 146 | Position: (2,6) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 136
Step: 147 | Position: (2,5) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 137
Step: 148 | Position: (2,6) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 137
Step: 149 | Position: (3,6) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 137
Step: 150 | Position: (3,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 137
Step: 151 | Position: (3,4) | Action: FORWARD | Unique cells visited: 138
Step: 152 | Position: (2,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 139
Step: 153 | Position: (2,3) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 140
Step: 154 | Position: (1,3) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 141
Step: 155 | Position: (0,3) | Action: FORWARD | Unique cells visited: 142
Step: 156 | Position: (0,2) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 143
Step: 157 | Position: (0,1) | Action: FORWARD | Unique cells visited: 144
Step: 158 | Position: (1,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 144
Step: 159 | Position: (1,0) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 144
Step: 160 | Position: (2,0) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 145
